,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
63322,7182391911,2500,1997.0,subaru,legacy outback wagon,good,4 cylinders,gas,177000.0,automatic,wagon,39.9724,-74.1838
63371,7194882198,4608,2008.0,chrysler,p/t cruiser,excellent,4 cylinders,gas,141710.0,automatic,wagon,40.4574,-122.328
63380,7194880859,9911,2011.0,kia,forte sx,excellent,4 cylinders,gas,90051.0,automatic,wagon,40.4574,-122.328
63414,7194473839,9499,2014.0,toyota,prius v three 4dr wagon,like new,4 cylinders,hybrid,133000.0,automatic,wagon,38.6064,-121.448
63421,7181509536,7995,2011.0,ford,escape,excellent,6 cylinders,gas,128094.0,automatic,wagon,43.2236,-77.3725
63448,7193771727,13995,2016.0,chevrolet,trax,excellent,4 cylinders,gas,58694.0,automatic,wagon,42.5914,-83.031
63482,7193150398,1450,2003.0,mercedes-benz,c 240,good,8 cylinders,gas,219000.0,automatic,wagon,43.9765,-124.105
63593,7186390407,5995,2013.0,subaru,outback limited,like new,4 cylinders,gas,101000.0,automatic,wagon,39.956,-82.7714
63659,7183015279,6000,2008.0,hyundai,veracruz,excellent,6 cylinders,gas,142000.0,automatic,wagon,40.0086,-74.7896
63675,7193591520,9911,2011.0,kia,forte sx,excellent,4 cylinders,gas,90051.0,automatic,wagon,40.4574,-122.328
63696,7193322581,8498,2008.0,subaru,outback llbean edition,good,6 cylinders,gas,137249.0,automatic,wagon,44.4395,-73.2102
63707,7193589324,4608,2008.0,chrysler,p/t cruiser,excellent,4 cylinders,gas,141710.0,automatic,wagon,40.4574,-122.328
63710,7195076222,8749,2012.0,volkswagen,jetta sportwagen tdi,excellent,4 cylinders,diesel,82000.0,automatic,wagon,38.0995,-78.4085
63718,7194804377,21650,2016.0,subaru,outback,like new,4 cylinders,gas,30230.0,automatic,wagon,38.1217,-78.3926
63736,7194473540,4495,2002.0,chrysler,pt cruiser,good,4 cylinders,gas,105430.0,automatic,wagon,38.4147,-78.8986
63769,7182129763,5295,2007.0,ford,explorer,good,8 cylinders,gas,157049.0,automatic,wagon,40.0093,-74.9694
63770,7182129067,8995,2013.0,cadillac,srx,good,6 cylinders,gas,87507.0,automatic,wagon,40.0093,-74.9694
63777,7182126782,6495,2010.0,chevrolet,equinox,good,4 cylinders,gas,133676.0,automatic,wagon,40.0093,-74.9694
63809,7181978504,3000,1998.0,ford,escort station wagon,fair,4 cylinders,gas,69800.0,automatic,wagon,39.4745,-74.4575
63851,7194931706,4999,2009.0,volkswagen,jetta sportwagen tdi,excellent,4 cylinders,diesel,192000.0,automatic,wagon,42.5683,-83.3805
63855,7186385971,2995,2004.0,chevrolet,malibu maxx lt,like new,6 cylinders,gas,152000.0,automatic,wagon,39.956,-82.7714
63857,7181562710,14299,2013.0,acura,mdx,excellent,6 cylinders,gas,127468.0,automatic,wagon,39.8299,-75.1253
63865,7181559199,15999,2014.0,jeep,grand cherokee,excellent,6 cylinders,gas,126961.0,automatic,wagon,39.8299,-75.1253
63867,7181558263,8999,2009.0,nissan,murano,excellent,6 cylinders,gas,118595.0,automatic,wagon,39.8299,-75.1253
63869,7181555095,7999,2013.0,nissan,rogue,excellent,4 cylinders,gas,118685.0,automatic,wagon,39.8299,-75.1253
63874,7181552742,7999,2007.0,jeep,commander,excellent,6 cylinders,gas,137476.0,automatic,wagon,39.8299,-75.1253
63876,7181549342,8199,2007.0,toyota,highlander,excellent,6 cylinders,gas,168249.0,automatic,wagon,39.8299,-75.1253
63986,7195193152,2888,2000.0,subaru,outback,good,4 cylinders,gas,220935.0,manual,wagon,39.4972,-119.776
63996,7194740558,0,2019.0,ford,transit passenger wagon 350,good,6 cylinders,other,31105.0,automatic,wagon,42.6681,-83.3338
64141,7181263313,12400,2015.0,bmw,x1,good,4 cylinders,gas,98239.0,automatic,wagon,42.7778,-73.749
64149,7181261267,32200,2017.0,bmw,3 series,good,4 cylinders,gas,18201.0,automatic,wagon,42.7778,-73.749
64153,7189257195,17895,2017.0,subaru,outback,like new,4 cylinders,gas,61785.0,automatic,wagon,37.7975,-121.189
64154,7181259078,12900,2008.0,jeep,wrangler,good,6 cylinders,gas,188904.0,automatic,wagon,42.7778,-73.749
64155,7181258801,19900,2015.0,jeep,grand cherokee,good,6 cylinders,gas,60462.0,automatic,wagon,42.7778,-73.749
64160,7192767076,5995,2005.0,audi,a4 2.0t avant quattro,excellent,4 cylinders,gas,114717.0,automatic,wagon,45.4021,-122.614
64161,7192763698,5995,2005.0,pontiac,vibe awd,excellent,4 cylinders,gas,176238.0,automatic,wagon,45.4021,-122.614
64167,7194354149,16000,2013.0,toyota,venza limited,excellent,6 cylinders,gas,79000.0,automatic,wagon,42.5159,-82.9959
64179,7181136094,2700,2006.0,subaru,legacy,excellent,4 cylinders,gas,156000.0,manual,wagon,42.7052,-73.7137
64180,7181124988,5950,2012.0,subaru,forester 2.5x,excellent,4 cylinders,gas,169000.0,manual,wagon,42.8488,-73.9427
64183,7189255969,8351,2013.0,ford,c-max hybrid se,like new,4 cylinders,gas,79079.0,automatic,wagon,37.7975,-121.189
64271,7189174470,8900,2011.0,volkswagen,jetta tdi,good,4 cylinders,diesel,64800.0,automatic,wagon,48.7909,-122.519
64298,7194233372,12995,2012.0,buick,enclave convenience group,like new,6 cylinders,gas,92347.0,automatic,wagon,42.4456,-83.1595
64314,7194979308,11995,2004.0,toyota,4runner,excellent,8 cylinders,gas,176717.0,automatic,wagon,39.4945,-119.789
64319,7194223179,15995,2012.0,jeep,grand cherokee laredo 4x4,like new,6 cylinders,gas,99946.0,automatic,wagon,42.4456,-83.1595
64322,7194219968,10995,2015.0,chevrolet,equinox lt awd,like new,4 cylinders,gas,105255.0,automatic,wagon,42.4456,-83.1595
64323,7194218867,14995,2013.0,cadillac,srx luxury awd,like new,6 cylinders,gas,103606.0,automatic,wagon,42.4456,-83.1595
64325,7194216839,8900,2014.0,dodge,grand caravan sxt,new,6 cylinders,gas,105763.0,automatic,wagon,42.4456,-83.1595
