,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
21555,7186552919,36924,2018.0,toyota,tacoma,excellent,6 cylinders,gas,24938.0,automatic,truck,44.2923,-105.498
21560,7186464729,67923,2019.0,ford,f-350,excellent,8 cylinders,diesel,23132.0,automatic,truck,44.2923,-105.498
21562,7186461064,25982,2013.0,ford,f-150,excellent,8 cylinders,gas,82899.0,automatic,truck,44.2923,-105.498
21570,7186016519,17500,1994.0,ford,f-350 fummins,good,6 cylinders,diesel,220000.0,manual,truck,41.439,-105.801
21572,7185983754,0,2016.0,ford,f-150,excellent,8 cylinders,gas,18117.0,automatic,truck,44.2923,-105.498
21574,7185943065,37976,2017.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,76788.0,automatic,truck,44.2923,-105.498
21575,7185938648,38937,2019.0,ford,f-250,excellent,8 cylinders,gas,37661.0,automatic,truck,44.2923,-105.498
21577,7185894525,37922,2017.0,ford,f-350,excellent,8 cylinders,gas,22281.0,automatic,truck,44.2923,-105.498
21579,7185842145,25970,2014.0,ram,1500,excellent,8 cylinders,gas,70188.0,automatic,truck,44.2923,-105.498
21583,7185486871,14995,2010.0,ford,f150 lariat 4x4,like new,8 cylinders,gas,178253.0,automatic,truck,45.7813,-108.573
21584,7181956002,15250,2005.0,chevrolet,silverado,excellent,8 cylinders,diesel,191750.0,automatic,truck,64.7805,-147.369
21585,7181954875,24000,2008.0,ford,f450 super duty,good,8 cylinders,diesel,104920.0,automatic,truck,64.9937,-146.151
21593,7185480399,20995,2011.0,ford,f250 super duty lariat 4x4,like new,8 cylinders,gas,187922.0,automatic,truck,45.7813,-108.573
21596,7185368336,16911,2011.0,ford,f-150,excellent,8 cylinders,gas,111050.0,automatic,truck,44.2923,-105.498
21597,7185363180,0,2007.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,154500.0,automatic,truck,44.2923,-105.498
21617,7185278249,0,2011.0,ram,1500,excellent,8 cylinders,gas,88414.0,automatic,truck,44.2923,-105.498
21618,7185276273,35945,2016.0,ram,1500,excellent,8 cylinders,gas,45975.0,automatic,truck,42.84,-106.367
21621,7185222079,35911,2017.0,gmc,sierra 1500,excellent,8 cylinders,gas,11658.0,automatic,truck,44.2923,-105.498
21628,7184838838,28983,2015.0,gmc,sierra 1500,excellent,8 cylinders,gas,83059.0,automatic,truck,42.84,-106.367
21631,7184806768,20987,2015.0,ram,1500,excellent,8 cylinders,gas,87599.0,automatic,truck,42.84,-106.367
21634,7184714738,46100,2018.0,ram,3500,new,8 cylinders,gas,100.0,automatic,truck,42.8478,-106.261
21635,7184714297,18926,2013.0,ford,f-150,excellent,8 cylinders,gas,126918.0,automatic,truck,44.2923,-105.498
21639,7184631123,19903,2011.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,103651.0,automatic,truck,42.84,-106.367
21652,7194486707,38988,2016.0,ram,1500 laramie,excellent,8 cylinders,gas,39469.0,automatic,truck,47.1043,-123.055
21655,7182854192,4500,2001.0,toyota,tundra,fair,8 cylinders,gas,193000.0,automatic,truck,42.8296,-108.734
21656,7182594094,11000,1991.0,chevrolet,kodiak,excellent,8 cylinders,gas,92233.0,manual,truck,42.9852,-104.316
21664,7195213191,4000,1995.0,toyota,tacoma,good,4 cylinders,gas,135000.0,manual,truck,44.0848,-123.067
21666,7188791454,24500,2008.0,gmc,c8500,excellent,6 cylinders,diesel,140000.0,manual,truck,32.6454,-85.3783
21679,7189552564,18900,2007.0,ram,3500,good,6 cylinders,diesel,111100.0,automatic,truck,34.4666,-85.3589
21680,7189550771,22900,2013.0,chevrolet,silverado 3500hd,good,8 cylinders,diesel,210000.0,automatic,truck,34.4666,-85.3589
21688,7194976336,6995,1995.0,toyota,tacoma 4x4 extended cab,good,6 cylinders,gas,233049.0,manual,truck,45.4021,-122.614
21705,7189276058,5000,1981.0,chevrolet,silverado,good,8 cylinders,gas,100000.0,manual,truck,34.1383,-87.988
21721,7189164591,27995,2017.0,ford,f250 4x4 diesel,excellent,8 cylinders,diesel,198005.0,automatic,truck,33.521,-86.8066
21727,7194441997,24995,2012.0,chevrolet,silverado 1500,good,8 cylinders,gas,66417.0,automatic,truck,43.5948,-116.588
21736,7194648106,21980,2013.0,ford,f-150,good,8 cylinders,gas,97696.0,automatic,truck,44.046,-123.042
21746,7189101021,23995,2015.0,ford,f250 4x4,excellent,8 cylinders,diesel,135373.0,automatic,truck,33.521,-86.8066
21778,7188866638,1850,2000.0,chevrolet,silverado 3500,fair,8 cylinders,gas,193535.0,automatic,truck,33.177,-86.6161
21786,7188842521,19888,2019.0,nissan,frontier king cab s,like new,4 cylinders,gas,26429.0,manual,truck,33.4188,-86.7867
21818,7181545540,3900,1992.0,toyota,pickup 4x4,fair,6 cylinders,gas,200000.0,manual,truck,58.2756,-134.395
21833,7188521207,0,2016.0,ram,3500,excellent,6 cylinders,diesel,66162.0,automatic,truck,45.0825,-94.3344
21846,7194488989,29995,2015.0,ford,f250 super duty,good,8 cylinders,diesel,157425.0,automatic,truck,44.0525,-123.127
21847,7194488595,24995,2009.0,ram,3500,good,6 cylinders,diesel,178322.0,manual,truck,44.0522,-123.127
21848,7194486985,16995,2006.0,toyota,tacoma sr5,good,6 cylinders,gas,190355.0,automatic,truck,44.0524,-123.127
21858,7194395091,25988,2012.0,toyota,tacoma sr5 4wd,excellent,6 cylinders,gas,76517.0,automatic,truck,47.1043,-123.055
21873,7192139985,4000,2003.0,ram,1500 slt,fair,8 cylinders,gas,358591.0,automatic,truck,44.8344,-91.469
21876,7186707170,26999,2015.0,ford,transit t350 box truck,excellent,6 cylinders,gas,70867.0,automatic,truck,38.7046,-121.272
21896,7191868235,5000,1998.0,gmc,sierra,excellent,8 cylinders,gas,194000.0,automatic,truck,44.6673,-91.4078
21906,7188663825,10700,1991.0,jeep,wrangler,excellent,6 cylinders,gas,112000.0,automatic,truck,31.2668,-85.3971
21912,7188431707,9800,2006.0,gmc,w4500,excellent,4 cylinders,diesel,207000.0,automatic,truck,39.8905,-75.2821
21916,7188417003,12900,2005.0,gmc,c5500,good,8 cylinders,diesel,187565.0,automatic,truck,40.3812,-76.4368
21917,7188413770,0,2016.0,ram,3500,excellent,6 cylinders,diesel,66162.0,automatic,truck,45.0824,-94.3345
21926,7181887350,7500,2004.0,ram,1500 slt 4x4,fair,8 cylinders,gas,2000000.0,automatic,truck,35.3876,-111.385
21930,7188406248,23700,2002.0,ford,f-450 super duty xl,good,8 cylinders,diesel,51339.0,automatic,truck,40.3812,-76.4368
21931,7188405063,8900,2009.0,gmc,c7500,good,6 cylinders,diesel,170529.0,automatic,truck,40.3812,-76.4368
21936,7189454478,9800,2006.0,ford,f150,good,8 cylinders,gas,181.0,automatic,truck,34.347,-87.7154
21942,7188279342,15990,2015.0,ford,f-150,good,8 cylinders,gas,164239.0,automatic,truck,34.7332,-87.668
21953,7188392252,34900,2017.0,ram,3500,good,6 cylinders,diesel,112000.0,automatic,truck,39.9845,-75.2282
21969,7186701268,28999,2015.0,ram,3500 promaster box truck,excellent,6 cylinders,gas,65173.0,automatic,truck,38.7046,-121.272
21990,7188026086,38500,2015.0,gmc,3500 denali 4x4 drw,good,8 cylinders,diesel,150460.0,automatic,truck,34.3828,-85.9201
22010,7186699319,36999,2015.0,chevrolet,2500 silverado 4x4,excellent,8 cylinders,gas,44084.0,automatic,truck,38.7046,-121.272
22022,7193145407,32995,2015.0,ford,f-150,excellent,6 cylinders,gas,85959.0,automatic,truck,44.5204,-88.0665
22029,7193062463,28900,2013.0,ford,f-150,excellent,8 cylinders,gas,46835.0,automatic,truck,44.4102,-89.8826
22032,7193011180,33515,2016.0,ford,f-150,excellent,6 cylinders,gas,106879.0,automatic,truck,44.5204,-88.0665
22033,7193386631,13995,2002.0,toyota,tacoma,good,6 cylinders,gas,178215.0,manual,truck,44.0525,-123.127
22036,7194352008,36000,2018.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,10710.0,automatic,truck,43.6185,-116.337
22042,7194349579,34000,2018.0,ford,f-150,excellent,6 cylinders,gas,81420.0,automatic,truck,43.6185,-116.337
22053,7192993547,8495,2007.0,ford,f250 super duty lariat,good,8 cylinders,diesel,247000.0,automatic,truck,44.4975,-88.0324
22058,7192956881,19988,2012.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,127745.0,automatic,truck,44.4737,-88.0631
