,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
55795,7193710341,19995,2015.0,toyota,rav4 limited 4wd,excellent,4 cylinders,gas,61000.0,automatic,SUV,43.4426,-71.6491
55812,7190815503,9950,2010.0,mercedes-benz,ml350 4matic,excellent,6 cylinders,gas,137239.0,automatic,SUV,36.0698,-86.7211
55813,7187561967,3600,2007.0,volvo,xc90,good,6 cylinders,gas,180000.0,automatic,SUV,39.9118,-86.2324
55815,7187555236,5800,2006.0,acura,mdx,good,6 cylinders,gas,140000.0,automatic,SUV,39.7154,-86.0933
55816,7183701648,16500,2016.0,mazda,cx-5,excellent,4 cylinders,gas,39000.0,automatic,SUV,35.1602,-89.7816
55817,7193704235,12995,2013.0,honda,cr-v,excellent,4 cylinders,gas,91268.0,automatic,SUV,42.7014,-71.3145
55820,7187528985,16996,2015.0,gmc,terrain sle,excellent,4 cylinders,gas,37456.0,automatic,SUV,39.7835,-85.8063
55833,7193699637,11995,2011.0,audi,q5 3.2 quattro prestige,excellent,6 cylinders,gas,103000.0,automatic,SUV,43.4426,-71.6491
55838,7193697868,29995,2015.0,lincoln,navigator l 4wd,excellent,6 cylinders,gas,56000.0,automatic,SUV,43.4426,-71.6491
55843,7183436389,7000,2005.0,jeep,grand cherokee,excellent,6 cylinders,gas,149000.0,automatic,SUV,35.6512,-88.3927
55844,7185592135,3500,2006.0,gmc,envoy xl,fair,6 cylinders,gas,148000.0,automatic,SUV,41.3176,-81.3454
55845,7193682044,6500,2006.0,jeep,wrangler x,good,6 cylinders,gas,205595.0,automatic,SUV,43.4935,-70.4883
55846,7179143069,7495,2013.0,jeep,patriot sport suv,good,4 cylinders,gas,123470.0,automatic,SUV,37.7421,-89.1638
55854,7186468653,4489,2009.0,dodge,caliber sxt,good,4 cylinders,gas,111321.0,automatic,SUV,40.8838,-81.4235
55855,7186465142,15633,2018.0,hyundai,kona,excellent,4 cylinders,gas,49014.0,automatic,SUV,41.2464,-81.3585
55876,7192368255,0,2017.0,nissan,rogue sl awd,like new,4 cylinders,gas,65412.0,automatic,SUV,36.2863,-95.8222
55887,7187168544,2300,2003.0,ford,escape,good,6 cylinders,gas,200004.0,automatic,SUV,39.8977,-86.1797
55888,7185565225,4200,2000.0,jeep,cherokee sport,good,6 cylinders,gas,135000.0,automatic,SUV,41.2471,-81.828
55895,7192351207,4995,2008.0,jeep,commander,excellent,6 cylinders,gas,157000.0,automatic,SUV,36.147,-95.907
55897,7187046567,5000,2004.0,rover,discovery 2,good,8 cylinders,gas,109000.0,automatic,SUV,39.8602,-86.0736
55899,7193551203,0,2015.0,chevrolet,trax ltz awd,excellent,4 cylinders,gas,109691.0,automatic,SUV,43.5661,-70.7431
55902,7193526237,3500,2011.0,jeep,patriot 2.4l 4cyl 4x4 suv,excellent,4 cylinders,gas,170000.0,automatic,SUV,42.9774,-71.4552
55903,7193519697,9500,2000.0,jeep,tj,good,6 cylinders,gas,81000.0,automatic,SUV,45.0232,-68.7276
55911,7193495525,6995,2015.0,jeep,patriot,good,4 cylinders,gas,167000.0,automatic,SUV,45.3739,-68.4719
55923,7185475263,4599,2006.0,ford,explorer,good,8 cylinders,gas,167000.0,automatic,SUV,41.4583,-81.7787
55940,7186414561,7999,2013.0,jeep,patriot,excellent,4 cylinders,gas,99209.0,automatic,SUV,41.039,-81.5757
55952,7194965015,18950,2016.0,nissan,rogue,excellent,4 cylinders,gas,53000.0,automatic,SUV,38.9262,-76.5435
55955,7194325049,11000,2012.0,ford,edge sel,excellent,6 cylinders,gas,98000.0,automatic,SUV,37.2927,-120.646
55957,7186382052,23113,2020.0,hyundai,tucson,excellent,4 cylinders,gas,3905.0,automatic,SUV,41.2464,-81.3585
55959,7186340947,3800,2005.0,jeep,grand cherokee laredo 4x4,good,6 cylinders,gas,181840.0,automatic,SUV,40.8094,-81.9483
55960,7186273525,4900,2010.0,nissan,rogue sl awd,excellent,4 cylinders,gas,153000.0,automatic,SUV,41.3955,-81.6977
55964,7194170230,8250,2007.0,lexus,rx 400h,excellent,6 cylinders,hybrid,126620.0,automatic,SUV,39.0811,-76.5577
55967,7195196102,6500,2009.0,toyota,rav4 limited,good,4 cylinders,gas,131302.0,automatic,SUV,39.4833,-76.5776
55969,7195178481,31500,2014.0,jeep,wrangler,excellent,6 cylinders,gas,46000.0,manual,SUV,39.2141,-76.8788
55970,7195174543,4900,2004.0,saturn,vue awd,excellent,6 cylinders,gas,90000.0,automatic,SUV,40.0391,-76.4862
55974,7195066927,4999,2004.0,subaru,forester xs,excellent,4 cylinders,gas,117000.0,automatic,SUV,39.2648,-76.6981
55989,7195052169,8499,2011.0,nissan,rogue sl,like new,4 cylinders,gas,103000.0,automatic,SUV,39.2646,-76.6986
55990,7195045149,6995,2009.0,subaru,forester xt,excellent,4 cylinders,gas,137000.0,automatic,SUV,39.2656,-76.6961
55992,7195020815,4950,2003.0,gmc,yukon xl,excellent,8 cylinders,gas,217999.0,automatic,SUV,39.3881,-77.1723
55997,7186052487,26999,2015.0,jeep,wrangler unlimi,excellent,6 cylinders,gas,61895.0,automatic,SUV,41.0038,-81.6089
55999,7187403540,3500,1992.0,chevrolet,suburban,excellent,8 cylinders,gas,183550.0,automatic,SUV,38.6942,-75.1983
56004,7190771398,9750,2008.0,honda,crv ex-l,excellent,4 cylinders,gas,89000.0,automatic,SUV,36.165,-86.7776
56008,7186051708,21999,2014.0,jeep,wrangler unlimi,excellent,6 cylinders,gas,101685.0,manual,SUV,41.0038,-81.6089
56011,7194843786,6700,2008.0,bmw,x5 4.8i,good,8 cylinders,gas,119.0,automatic,SUV,39.4003,-76.7936
56014,7192267444,13200,2011.0,toyota,4runner,excellent,6 cylinders,gas,204000.0,automatic,SUV,36.0976,-95.9228
56023,7194771827,3100,2005.0,honda,pilot touring awd,excellent,6 cylinders,gas,219888.0,automatic,SUV,39.3914,-76.4871
56026,7186050906,19500,2012.0,jeep,wrangler unlimi,excellent,6 cylinders,gas,116521.0,automatic,SUV,41.0038,-81.6089
56032,7185987030,29689,2017.0,ford,explorer,excellent,6 cylinders,gas,34095.0,automatic,SUV,41.2464,-81.3585
56033,7186962510,9950,2013.0,ford,edge,excellent,6 cylinders,gas,70000.0,automatic,SUV,39.1605,-75.5974
