,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
38720,7183462511,34500,2013.0,ford,f-250,excellent,8 cylinders,diesel,137000.0,automatic,pickup,40.1501,-76.2119
38727,7195000954,17995,2006.0,ford,super duty f-250,excellent,8 cylinders,diesel,168588.0,automatic,pickup,32.9651,-96.9133
38728,7180881126,32995,2019.0,chevrolet,colorado z71,like new,6 cylinders,gas,6833.0,automatic,pickup,44.6826,-83.4117
38735,7194634690,32998,2017.0,gmc,sierra 1500,excellent,8 cylinders,gas,73846.0,automatic,pickup,32.7401,-97.1116
38763,7188791515,36500,2018.0,ford,f-150,like new,8 cylinders,gas,29300.0,automatic,pickup,25.9743,-97.4865
38781,7194571984,29995,2018.0,ford,f150,like new,6 cylinders,gas,64852.0,automatic,pickup,35.1831,-101.884
38782,7189724932,19900,2019.0,nissan,frontier,like new,4 cylinders,gas,1051.0,manual,pickup,30.6582,-96.3351
38784,7180179709,8500,2012.0,gmc,sierra,good,8 cylinders,gas,159000.0,automatic,pickup,45.2786,-85.2381
38793,7189638223,18900,2017.0,chevrolet,colorado,excellent,6 cylinders,gas,71528.0,automatic,pickup,30.6529,-96.3359
38794,7179040365,7990,2005.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,161000.0,automatic,pickup,46.45,-95.1247
38805,7179039501,27990,2016.0,ford,super duty f-250 srw,excellent,8 cylinders,gas,43000.0,automatic,pickup,46.45,-95.1247
38807,7178777933,7500,2004.0,ram,2500 slt,good,8 cylinders,gas,211745.0,automatic,pickup,39.5709,-107.543
38814,7193862353,29995,2015.0,ram,2500,like new,8 cylinders,gas,120545.0,automatic,pickup,35.1831,-101.884
38818,7193836586,36995,2015.0,ford,f-150,like new,6 cylinders,gas,84932.0,automatic,pickup,35.1831,-101.884
38840,7193195689,7995,2007.0,ford,f350,like new,8 cylinders,diesel,208897.0,automatic,pickup,35.1831,-101.884
38844,7188204126,7500,1999.0,ford,f-350 crew cab xlt,good,8 cylinders,diesel,214811.0,manual,pickup,31.2309,-96.2375
38845,7193072724,79900,2019.0,ford,f350,like new,8 cylinders,diesel,11380.0,automatic,pickup,35.1919,-101.821
38846,7193072093,28900,2017.0,ford,f150 lariat supercrew 4x4,excellent,8 cylinders,gas,134330.0,automatic,pickup,35.1919,-101.821
38860,7179625622,12995,2009.0,chevrolet,silverado ls,good,8 cylinders,gas,111400.0,automatic,pickup,44.6826,-83.4117
38863,7179038077,11990,2010.0,ford,super duty f-250,excellent,8 cylinders,diesel,243000.0,automatic,pickup,46.45,-95.1247
38872,7179596241,18995,2014.0,chevrolet,silverado ltz,excellent,8 cylinders,gas,167500.0,automatic,pickup,44.6826,-83.4117
38881,7179583955,28995,2017.0,chevrolet,silverado lt,excellent,8 cylinders,gas,40900.0,automatic,pickup,44.6826,-83.4117
38885,7179582959,22995,2018.0,chevrolet,silverado,like new,8 cylinders,gas,10650.0,automatic,pickup,44.6826,-83.4117
38895,7195153012,3000,2009.0,ram,2500,excellent,6 cylinders,gas,236761.0,automatic,pickup,29.4481,-98.5581
38912,7194884226,62670,2018.0,ford,f-150 raptor,like new,6 cylinders,gas,53255.0,automatic,pickup,38.4456,-91.0206
38943,7189602183,8950,2006.0,ford,f150,excellent,8 cylinders,gas,144000.0,automatic,pickup,27.7053,-97.4252
38954,7186103648,2900,2001.0,ford,ranger,excellent,6 cylinders,gas,148.0,automatic,pickup,40.7536,-73.8226
38957,7194812456,26400,2017.0,gmc,sierra 1500 double cab,excellent,6 cylinders,gas,122000.0,automatic,pickup,38.8198,-91.1584
38985,7190358901,7995,2003.0,ram,slt quad cab 4wd,excellent,8 cylinders,gas,170000.0,automatic,pickup,39.628,-84.2933
38996,7194799296,3750,2002.0,ford,f150 xl 4x4,good,8 cylinders,gas,201000.0,automatic,pickup,38.5495,-90.3811
39000,7179037778,11990,2000.0,ram,3500,excellent,6 cylinders,diesel,207000.0,manual,pickup,46.45,-95.1247
39010,7194966237,17995,2006.0,ford,super duty f-250,excellent,8 cylinders,diesel,168588.0,automatic,pickup,32.9651,-96.9133
39028,7189456398,41590,2019.0,ram,1500 crew cab big horn,good,8 cylinders,gas,18253.0,other,pickup,27.93,-97.66
39030,7185611493,3500,1998.0,toyota,tacoma,excellent,4 cylinders,gas,217000.0,manual,pickup,41.4057,-80.3739
39033,7189454904,14800,2015.0,chevrolet,silverado 1500,like new,6 cylinders,gas,38000.0,automatic,pickup,27.6968,-97.418
39036,7182998855,9000,2006.0,ford,f-150,excellent,8 cylinders,gas,9000.0,automatic,pickup,36.6026,-121.849
39146,7188538797,5900,2008.0,nissan,xterra,excellent,6 cylinders,gas,128352.0,automatic,pickup,33.7132,-116.217
39156,7190002680,22990,2013.0,chevrolet,silverado 1500 regular,good,8 cylinders,gas,26960.0,other,pickup,33.7792,-84.4118
39189,7194863420,20000,2013.0,ford,f-150,good,8 cylinders,gas,119352.0,automatic,pickup,30.646,-97.756
39203,7188193474,40990,2020.0,chevrolet,silverado 1500 crew,good,8 cylinders,gas,1941.0,automatic,pickup,27.93,-97.66
39206,7188189970,0,2019.0,ram,3500 crew cab drw,excellent,6 cylinders,diesel,57876.0,automatic,pickup,27.7683,-97.4013
39208,7194854216,19500,2011.0,chevrolet,silverado 1500,good,8 cylinders,gas,119500.0,automatic,pickup,30.5708,-97.4094
39264,7179800826,2500,2000.0,chevrolet,silverado 1500 lt 4x4,fair,8 cylinders,gas,198101.0,automatic,pickup,42.9135,-82.4813
39307,7185260033,6500,1986.0,ram,royal se,excellent,8 cylinders,gas,70555.0,manual,pickup,38.8471,-105.115
39308,7185244893,24990,2019.0,ford,f150 regular cab xl pickup,good,8 cylinders,other,12256.0,other,pickup,33.7792,-84.4118
39330,7185211749,41990,2019.0,ford,f150 supercrew cab xlt,good,6 cylinders,gas,5569.0,other,pickup,33.7792,-84.4118
39336,7190058531,1050,1996.0,ford,ranger,fair,4 cylinders,gas,223950.0,manual,pickup,41.2637,-82.3782
39368,7181935013,17000,2003.0,ford,f-350,good,8 cylinders,diesel,94000.0,automatic,pickup,36.8664,-100.878
39376,7187637558,15995,2011.0,ford,f-150,excellent,8 cylinders,gas,160470.0,automatic,pickup,40.0969,-75.03
39382,7187636164,14995,2006.0,toyota,tundra,excellent,8 cylinders,gas,123176.0,automatic,pickup,40.0969,-75.03
39383,7187635880,19995,2013.0,ford,f-150,excellent,8 cylinders,gas,148571.0,automatic,pickup,40.0969,-75.03
39384,7187635114,14995,2007.0,ram,3500,excellent,6 cylinders,diesel,234018.0,automatic,pickup,40.0969,-75.03
39385,7187634288,15995,2009.0,ford,super duty f-450 drw,excellent,8 cylinders,diesel,77001.0,automatic,pickup,40.0969,-75.03
39400,7180202801,0,1993.0,chevrolet,c/k 1500,excellent,8 cylinders,gas,117270.0,automatic,pickup,41.2175,-73.0549
39428,7189224274,5999,2005.0,chevrolet,silverado 3500,excellent,8 cylinders,gas,293300.0,automatic,pickup,38.6089,-121.43
39449,7189221758,26999,2011.0,gmc,sierra 1500,excellent,8 cylinders,gas,112766.0,automatic,pickup,38.6089,-121.43
39450,7189221550,18999,2006.0,ram,2500,excellent,6 cylinders,diesel,256053.0,automatic,pickup,38.6089,-121.43
39477,7189218958,21999,2008.0,ford,super duty f-250,excellent,8 cylinders,diesel,165259.0,automatic,pickup,38.6089,-121.43
39493,7178990912,0,2008.0,chevrolet,silverado,excellent,8 cylinders,gas,110400.0,automatic,pickup,41.2175,-73.0549
39497,7189215812,17999,2008.0,ford,super duty f-250,excellent,8 cylinders,diesel,180068.0,automatic,pickup,38.6089,-121.43
39513,7178359587,12900,2010.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,126109.0,automatic,pickup,41.2175,-73.0549
39514,7190134307,44900,2018.0,ram,2500 slt crew 4x4 diesel,excellent,6 cylinders,diesel,50841.0,automatic,pickup,41.8276,-83.8773
