,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
65559,7193413983,15895,2015.0,honda,fit ex,excellent,4 cylinders,gas,30299.0,automatic,hatchback,39.4956,-119.79
65565,7191820087,15995,2015.0,toyota,prius,excellent,4 cylinders,gas,39821.0,automatic,hatchback,44.0481,-123.123
65575,7191817963,6995,2011.0,nissan,leaf sv hatchback 4d,excellent,other,electric,69501.0,automatic,hatchback,44.0481,-123.123
65586,7188971336,10988,2014.0,mazda,mazda3,good,4 cylinders,gas,145443.0,automatic,hatchback,34.2216,-118.413
65589,7188970532,13988,2016.0,ford,c-max energi,good,4 cylinders,hybrid,62299.0,automatic,hatchback,34.2216,-118.413
65609,7188968025,7995,2013.0,hyundai,accent,good,4 cylinders,gas,48337.0,automatic,hatchback,34.2216,-118.413
65628,7182917542,2500,2008.0,kia,rio5,good,4 cylinders,gas,108303.0,manual,hatchback,43.0408,-78.7812
65629,7195199827,7995,2017.0,ford,focus se,like new,4 cylinders,gas,87000.0,automatic,hatchback,38.5981,-121.215
65637,7182875878,13500,1995.0,chevrolet,corvette,like new,8 cylinders,gas,48831.0,manual,hatchback,43.1722,-79.0215
65678,7182787099,2600,2005.0,mini,cooper,good,4 cylinders,gas,169000.0,automatic,hatchback,43.0955,-79.0414
65705,7195174838,3600,2008.0,toyota,prius hybrid,good,4 cylinders,hybrid,117000.0,automatic,hatchback,38.7159,-121.365
65727,7195158737,7500,2011.0,volvo,c30 t5,good,5 cylinders,gas,124000.0,automatic,hatchback,38.6707,-121.378
65730,7195158475,3500,2012.0,nissan,versa hatchback,good,4 cylinders,gas,180752.0,automatic,hatchback,38.269,-121.3
65734,7195157654,16488,2015.0,lexus,ct 200h,excellent,4 cylinders,hybrid,75132.0,automatic,hatchback,38.3003,-122.276
65773,7192663773,3996,2004.0,toyota,prius hatchback 4d,excellent,4 cylinders,hybrid,172663.0,automatic,hatchback,45.4021,-122.614
65775,7195121415,7900,2005.0,mitsubishi,eclipse,like new,4 cylinders,gas,69000.0,manual,hatchback,40.4574,-122.328
65792,7194277287,22990,2017.0,infiniti,qx50 sport utility 4d,good,6 cylinders,gas,30453.0,automatic,hatchback,43.03,-85.82
65827,7194204031,9886,2014.0,nissan,juke,like new,4 cylinders,gas,133222.0,automatic,hatchback,42.9822,-85.6987
65829,7194487764,7990,2014.0,ford,c-max se,excellent,4 cylinders,hybrid,78000.0,automatic,hatchback,38.9268,-78.1796
65837,7195105358,4990,2015.0,mitsubishi,mirage,excellent,3 cylinders,gas,63282.0,automatic,hatchback,38.6116,-121.421
65841,7194189399,6997,2012.0,fiat,500,like new,4 cylinders,gas,63263.0,automatic,hatchback,42.9822,-85.6987
65862,7195097671,6988,2015.0,fiat,500,excellent,4 cylinders,gas,80111.0,automatic,hatchback,38.6627,-121.341
65880,7194315226,7995,2015.0,honda,fit lx,excellent,4 cylinders,gas,78395.0,automatic,hatchback,37.323,-79.2318
65884,7192437127,3950,2005.0,mini,cooper s,good,4 cylinders,gas,150000.0,manual,hatchback,42.3899,-122.922
65927,7194005862,8499,2014.0,kia,soul plus,good,4 cylinders,gas,76271.0,automatic,hatchback,42.8977,-85.7186
