,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
88619,7186300015,5977,2009.0,chrysler,town & country,good,6 cylinders,gas,100275.0,automatic,mini-van,38.6235,-76.9069
88657,7188640341,3500,2004.0,honda,odyssey,good,6 cylinders,gas,159000.0,automatic,mini-van,35.5335,-105.926
88692,7188277209,799,2007.0,toyota,highlnader,excellent,6 cylinders,gas,107400.0,automatic,mini-van,41.6302,-81.4076
88693,7192741740,4750,2006.0,toyota,sienna,excellent,6 cylinders,gas,211500.0,automatic,mini-van,43.6265,-116.264
88703,7188270298,799,2007.0,toyota,highlnader,excellent,6 cylinders,gas,107400.0,automatic,mini-van,41.6302,-81.4076
88710,7188265663,799,2005.0,toyota,sienna limited,excellent,6 cylinders,gas,118400.0,automatic,mini-van,41.6302,-81.4076
88748,7190628220,13789,2015.0,honda,odyssey,good,6 cylinders,gas,96900.0,automatic,mini-van,44.3313,-88.2039
88793,7190532669,5999,2011.0,dodge,grand caravan express,excellent,6 cylinders,gas,151000.0,automatic,mini-van,45.1934,-87.8062
88833,7188045420,13800,2012.0,toyota,sienna xle awd,excellent,6 cylinders,gas,122800.0,automatic,mini-van,42.6158,-73.8373
88858,7192542317,5995,2011.0,nissan,quest s,good,6 cylinders,gas,169000.0,automatic,mini-van,36.2123,-86.323
88980,7188954175,19200,2019.0,dodge,grand caravan sxt,like new,6 cylinders,gas,27745.0,automatic,mini-van,42.7639,-78.7518
89009,7188611248,5900,2009.0,dodge,grand caravan se,good,6 cylinders,gas,100724.0,automatic,mini-van,43.0361,-78.8231
89067,7190111769,6990,2014.0,ram,c/v tradesman,excellent,6 cylinders,gas,162738.0,automatic,mini-van,43.1925,-88.7144
89124,7188164712,1500,2010.0,dodge,grand caravan,good,6 cylinders,gas,115000.0,automatic,mini-van,41.4147,-81.7863
89158,7190646614,3500,2008.0,chevrolet,uplander,fair,6 cylinders,gas,154000.0,automatic,mini-van,42.6278,-89.2533
89161,7194872571,4900,2004.0,toyota,sienna,excellent,6 cylinders,gas,178000.0,automatic,mini-van,36.234,-80.6357
89172,7194821165,7000,2012.0,chrysler,town & country,excellent,6 cylinders,gas,108500.0,automatic,mini-van,36.0821,-80.2752
89243,7190917007,4999,2006.0,honda,odyssey,like new,6 cylinders,gas,104423.0,automatic,mini-van,43.1188,-87.9478
89434,7178724198,12900,2013.0,dodge,grand caravan,excellent,6 cylinders,gas,185720.0,automatic,mini-van,28.0991,-80.6791
89482,7191976597,7399,2010.0,chrysler,town and country,good,6 cylinders,gas,125000.0,automatic,mini-van,43.6167,-116.345
89494,7194896575,8500,2014.0,mazda,5,excellent,4 cylinders,gas,62418.0,automatic,mini-van,40.0793,-105.302
89594,7195060704,2000,2002.0,dodge,grand caravan,good,6 cylinders,gas,15460.0,automatic,mini-van,38.8377,-104.837
89628,7194965476,1900,2003.0,chevrolet,venture,good,6 cylinders,gas,159000.0,automatic,mini-van,38.9497,-104.767
89675,7194656164,1000,2005.0,honda,odyssey ex-l,good,6 cylinders,gas,285000.0,automatic,mini-van,38.9904,-104.798
89679,7179663508,10999,2016.0,dodge,grand caravan sxt,like new,6 cylinders,gas,90206.0,automatic,mini-van,43.2083,-76.8142
89680,7179659437,10995,2014.0,dodge,grand caravan sxt,like new,6 cylinders,gas,75454.0,automatic,mini-van,43.2083,-76.8142
89698,7179439963,4700,2008.0,honda,odyssey,good,6 cylinders,gas,128560.0,automatic,mini-van,42.983,-76.0766
89775,7186012538,4495,2007.0,kia,sedona,like new,6 cylinders,gas,151945.0,automatic,mini-van,43.3953,-85.4869
89803,7194013523,1900,2002.0,chrysler,town & country,good,6 cylinders,gas,236000.0,automatic,mini-van,38.7457,-104.722
89804,7193996304,15995,2014.0,dodge,grand caravan,excellent,6 cylinders,gas,136341.0,automatic,mini-van,32.2078,-110.89
89806,7191774184,2200,2009.0,nissan,quest,good,4 cylinders,gas,132500.0,automatic,mini-van,36.1897,-86.5023
89868,7193808688,6999,2008.0,honda,odyssey,excellent,6 cylinders,gas,129810.0,automatic,mini-van,38.8455,-104.776
89934,7194166706,2000,2003.0,chevrolet,astro van,fair,6 cylinders,gas,114000.0,automatic,mini-van,42.1198,-76.8877
90003,7195060814,26500,2013.0,honda,odyssey,excellent,6 cylinders,gas,82000.0,automatic,mini-van,40.2159,-105.119
90037,7195011801,5825,2008.0,dodge,grand caravan sxt,good,6 cylinders,gas,142281.0,automatic,mini-van,39.6463,-105.009
90074,7194959083,17000,1974.0,volkswagen,bus,excellent,4 cylinders,gas,128000.0,manual,mini-van,39.6535,-105.038
90144,7192679731,9400,2013.0,toyota,sienna,excellent,6 cylinders,gas,186399.0,automatic,mini-van,35.2166,-101.83
90218,7189724513,1995,2002.0,dodge,grand caravan,good,6 cylinders,gas,162.0,automatic,mini-van,41.2477,-74.2092
90248,7194642308,14900,2011.0,dodge,grand caravan,excellent,6 cylinders,gas,108000.0,automatic,mini-van,40.8063,-96.6545
90279,7190666593,1500,2006.0,ford,freestyle,good,6 cylinders,gas,173136.0,automatic,mini-van,43.1132,-89.6397
90307,7189020438,4500,2007.0,nissan,quest 3.5 se,good,6 cylinders,gas,155000.0,automatic,mini-van,42.0579,-73.9025
90334,7193234634,4995,2006.0,honda,odyssey,excellent,6 cylinders,gas,166988.0,automatic,mini-van,30.4815,-97.5855
90352,7192583424,1500,2002.0,dodge,grand caravan,good,6 cylinders,gas,173000.0,automatic,mini-van,43.4828,-112.043
90377,7179589737,8999,2014.0,chrysler,town and countr,excellent,6 cylinders,gas,111737.0,automatic,mini-van,41.0038,-81.6089
90408,7191631756,5200,2014.0,dodge,grand caravan,good,6 cylinders,gas,156000.0,automatic,mini-van,43.377,-112.107
90484,7194189068,17900,2019.0,dodge,grand caravan sxt,excellent,6 cylinders,gas,48000.0,automatic,mini-van,40.7702,-96.7002
90529,7193357818,5000,2008.0,dodge,grand caravan,excellent,6 cylinders,gas,146593.0,automatic,mini-van,47.6156,-117.362
90654,7193226812,5700,2007.0,toyota,sienna,excellent,6 cylinders,gas,100627.0,automatic,mini-van,47.6977,-117.375
