,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
3705,7193370421,12900,2006.0,mercedes-benz,benz slk 280,excellent,6 cylinders,gas,50359.0,automatic,convertible,27.0997,-82.2095
3718,7195116158,7000,2000.0,ford,mustang,good,8 cylinders,gas,103000.0,manual,convertible,25.7274,-80.4497
3803,7180490535,21950,2016.0,mazda,mx-5 miata club,excellent,4 cylinders,gas,30400.0,automatic,convertible,33.3846,-86.7374
3837,7180485010,11950,2008.0,mazda,mx-5 miata grand touring,excellent,4 cylinders,gas,73725.0,automatic,convertible,33.3844,-86.7371
3849,7193198786,69900,2017.0,chevrolet,corvette z06,like new,8 cylinders,gas,17451.0,automatic,convertible,34.7448,-86.6704
3864,7180301210,9988,2006.0,mercedes-benz,benz slk280,good,6 cylinders,gas,117702.0,automatic,convertible,32.8355,-86.6425
3949,7192693776,6500,1993.0,ford,mustang,excellent,8 cylinders,gas,138000.0,automatic,convertible,35.0295,-86.3481
3984,7194979420,28000,2005.0,chevrolet,ssr,excellent,8 cylinders,gas,24000.0,manual,convertible,26.3257,-80.159
4043,7179253853,19500,2001.0,chevrolet,corvette,excellent,8 cylinders,gas,68000.0,automatic,convertible,37.1151,-87.8632
4056,7193232278,44950,2016.0,mercedes-benz,slk,excellent,8 cylinders,gas,27000.0,automatic,convertible,42.4845,-92.325
4079,7191822446,8500,2008.0,mazda,mx-5 miata,like new,4 cylinders,gas,71000.0,manual,convertible,34.4482,-86.9242
4123,7179182837,17500,1975.0,buick,lesabre,excellent,8 cylinders,gas,80000.0,automatic,convertible,29.988,-90.853
4126,7194956167,19977,2007.0,jaguar,xk,excellent,8 cylinders,gas,43534.0,automatic,convertible,26.1389,-81.7689
4220,7191744792,30343,2020.0,ford,mustang,excellent,4 cylinders,gas,11918.0,automatic,convertible,42.5143,-92.4472
4290,7193255987,6999,2002.0,jaguar,xk8,good,8 cylinders,gas,102021.0,automatic,convertible,39.0417,-94.7202
4291,7180637217,14900,2007.0,saturn,sky,excellent,4 cylinders,gas,17400.0,automatic,convertible,44.7105,-88.1076
4330,7191574789,5400,2002.0,audi,tt,excellent,4 cylinders,gas,131930.0,manual,convertible,40.6152,-111.885
4399,7194570471,8350,2008.0,mini,cooper convertible,good,4 cylinders,gas,125022.0,automatic,convertible,40.743,-73.88
4400,7194561124,2500,1979.0,volkswagen,beetle,salvage,4 cylinders,gas,79000.0,manual,convertible,40.7475,-73.9026
4500,7191376265,13000,2003.0,bmw,z4 2.5i,excellent,6 cylinders,gas,58000.0,manual,convertible,37.1837,-93.3768
4525,7178429911,4350,1994.0,ford,mustang,excellent,6 cylinders,gas,140000.0,automatic,convertible,44.0511,-87.8216
4531,7181140063,15950,1984.0,ford,mustang convertible gt350,good,8 cylinders,gas,78500.0,automatic,convertible,32.5161,-84.9785
4570,7190613577,1200,2003.0,chrysler,sebring,good,4 cylinders,gas,140000.0,automatic,convertible,36.669,-93.2481
4575,7191903091,8000,2002.0,mazda,mx-5 miata,excellent,4 cylinders,gas,40870.0,manual,convertible,30.2717,-87.7589
4590,7182266151,14990,2010.0,ford,mustang convertible 2d,good,6 cylinders,gas,31913.0,other,convertible,32.83,-83.65
4602,7193026315,19995,2015.0,mazda,cx-5,like new,4 cylinders,gas,15000.0,manual,convertible,41.6221,-94.038
4636,7188833847,5500,2004.0,nissan,350z convertible,excellent,6 cylinders,gas,101675.0,automatic,convertible,35.4874,-97.574
4648,7192839836,15750,2008.0,saturn,sky redline turbo,excellent,4 cylinders,gas,31000.0,automatic,convertible,38.8075,-94.9157
4666,7193271861,12500,2005.0,ford,mustang convertible gt,excellent,8 cylinders,gas,45000.0,automatic,convertible,42.8827,-73.1923
4680,7190273432,25999,2003.0,mercedes-benz,sl-class,excellent,8 cylinders,gas,47000.0,automatic,convertible,38.615,-121.272
4714,7190273016,11999,2011.0,bmw,1 series,excellent,6 cylinders,gas,92000.0,automatic,convertible,38.615,-121.272
4729,7193209185,11995,2009.0,bmw,3 series,good,6 cylinders,gas,103349.0,automatic,convertible,42.7778,-73.749
4742,7194920691,5995,2008.0,ford,mustang,excellent,6 cylinders,gas,180582.0,automatic,convertible,26.0931,-80.1427
4755,7188591276,32500,1932.0,ford,roadster,like new,8 cylinders,gas,12000.0,automatic,convertible,35.2925,-97.4742
4809,7192573441,9899,2009.0,mini,cooper,excellent,4 cylinders,gas,88315.0,automatic,convertible,39.0126,-94.6973
4853,7194349197,8999,1999.0,jaguar,xk8 convertible,good,8 cylinders,gas,63956.0,automatic,convertible,40.9343,-74.1166
4963,7192368112,24650,1973.0,chevrolet,corvette,good,8 cylinders,gas,7873.0,automatic,convertible,39.7841,-93.5529
5046,7179669443,49900,2008.0,cadillac,xlr-v,good,8 cylinders,gas,16956.0,automatic,convertible,42.1898,-91.7758
5049,7194292044,12000,2011.0,ford,mustang convertible,excellent,8 cylinders,gas,130000.0,automatic,convertible,40.7277,-73.7489
5052,7192312738,3450,2001.0,chrysler,sebring limited,like new,6 cylinders,gas,91122.0,automatic,convertible,39.0652,-94.8608
5058,7194290648,6500,1998.0,ford,mustang gt convertible,excellent,8 cylinders,gas,48000.0,manual,convertible,40.7603,-72.8775
5078,7180422803,13500,2003.0,mercedes-benz,benz sl500 roadster,good,8 cylinders,gas,70500.0,automatic,convertible,30.4876,-90.0959
5102,7194898052,7995,2006.0,bmw,6-series,excellent,8 cylinders,gas,136756.0,automatic,convertible,26.0931,-80.1427
5110,7194897623,2995,2007.0,chrysler,pt cruiser,excellent,4 cylinders,gas,90871.0,automatic,convertible,26.0931,-80.1427
5123,7194243727,26000,1955.0,morgan,+4,good,4 cylinders,gas,36600.0,manual,convertible,40.3707,-74.0084
5168,7180370694,13995,1982.0,mercedes-benz,benz 380sl,excellent,8 cylinders,gas,52000.0,automatic,convertible,44.4662,-92.294
5244,7186759306,3400,2000.0,mercedes-benz,benz clk 320,good,6 cylinders,gas,180000.0,automatic,convertible,44.5405,-123.257
5259,7194214616,17999,2011.0,mercedes-benz,benz e350,excellent,6 cylinders,gas,97110.0,automatic,convertible,40.585,-73.94
5362,7189649705,19995,1927.0,ford,t bucket,excellent,8 cylinders,gas,1000.0,automatic,convertible,35.9562,-95.4101
5409,7194108254,7699,2007.0,bmw,335i,excellent,6 cylinders,gas,104000.0,automatic,convertible,40.6024,-74.0235
5443,7192458214,19995,2015.0,mazda,cx-5,like new,4 cylinders,gas,15000.0,manual,convertible,41.6221,-94.038
5448,7193957287,7500,1998.0,mercedes-benz,benz sl500,like new,8 cylinders,gas,170000.0,automatic,convertible,40.7984,-73.6477
5634,7193809311,5200,1998.0,ford,mustang,good,8 cylinders,gas,112.0,automatic,convertible,40.5668,-74.1468
5704,7189277446,3900,1999.0,mazda,miata,good,4 cylinders,gas,159000.0,automatic,convertible,36.147,-95.907
5751,7190184808,5500,2006.0,mazda,miata mx-5 sport conv,good,4 cylinders,gas,113981.0,automatic,convertible,35.5502,-83.0205
5773,7191812441,7995,2007.0,toyota,solara sle,excellent,6 cylinders,gas,108772.0,automatic,convertible,38.3526,-77.7542
5783,7188862142,16990,2010.0,lexus,is 250 sport convertible,good,6 cylinders,gas,85806.0,other,convertible,36.03,-95.78
5787,7188798663,15000,2008.0,honda,s2000,good,4 cylinders,gas,145000.0,manual,convertible,36.0978,-95.8866
5828,7193698251,9500,1980.0,alfa-romeo,romeo spider,like new,4 cylinders,gas,52000.0,manual,convertible,40.7255,-73.9983
5830,7194828397,0,2016.0,ford,mustang,excellent,6 cylinders,gas,44600.0,automatic,convertible,25.8634,-80.2099
5883,7184684672,8500,1987.0,chevrolet,corvette convertible,good,8 cylinders,gas,128000.0,automatic,convertible,45.845,-119.285
5888,7191358642,3095,1996.0,bmw,328 convertible,good,6 cylinders,gas,200219.0,automatic,convertible,35.7346,-80.2092
5938,7192803191,3900,2002.0,ford,mustang,good,6 cylinders,gas,0.0,automatic,convertible,39.1372,-95.9549
6017,7190990026,6900,2003.0,ford,mustang gt premium,good,8 cylinders,gas,162000.0,automatic,convertible,35.2172,-81.1252
6047,7194758201,38000,2016.0,mercedes-benz,e400,like new,6 cylinders,gas,36000.0,automatic,convertible,26.3142,-80.2089
6076,7192772447,16900,1997.0,jaguar,xk8 convertible,good,8 cylinders,gas,50000.0,automatic,convertible,38.7811,-95.0094
6109,7187967044,9000,2005.0,mercedes-benz,benz slk350,excellent,6 cylinders,gas,71456.0,automatic,convertible,35.9445,-96.0118
6117,7190806115,5995,2008.0,chrysler,sebring convertible,excellent,4 cylinders,gas,65000.0,automatic,convertible,35.5481,-81.0829
6156,7190719938,33000,1969.0,buick,gransport,excellent,8 cylinders,gas,100000.0,automatic,convertible,34.8417,-80.852
6196,7192013209,14500,1977.0,volkswagen,bug convertible,excellent,other,gas,56186.0,manual,convertible,38.055,-97.9311
6274,7190492874,3000,2008.0,chrysler,sebring convertible,fair,6 cylinders,gas,176006.0,automatic,convertible,35.2103,-80.7661
6289,7180716114,20500,2008.0,chevrolet,corvette convertible,excellent,8 cylinders,gas,118600.0,manual,convertible,36.3695,-79.9654
6303,7192056387,13900,1998.0,chevrolet,corvette,excellent,8 cylinders,gas,45000.0,automatic,convertible,41.6145,-70.9716
6362,7190286878,12000,2007.0,bmw,z4 3.0si,excellent,6 cylinders,gas,97500.0,automatic,convertible,34.9773,-80.8584
6393,7180399416,25000,2001.0,chevrolet,corvette,excellent,8 cylinders,gas,27000.0,automatic,convertible,36.2466,-79.9816
6423,7191818851,7990,2007.0,toyota,solara sle,excellent,6 cylinders,gas,108772.0,automatic,convertible,38.3524,-77.7538
6441,7192135973,4599,2004.0,toyota,camry solara,excellent,6 cylinders,gas,135000.0,automatic,convertible,38.4489,-78.8714
6475,7192903419,33980,2016.0,bmw,428i,like new,4 cylinders,gas,16700.0,automatic,convertible,37.9833,-84.5767
6656,7178767594,6995,2007.0,bmw,z4 3.0si,excellent,6 cylinders,gas,153626.0,automatic,convertible,36.1165,-80.0831
6722,7178423984,9550,2012.0,mini,cooper s roadster,excellent,4 cylinders,gas,75123.0,manual,convertible,36.033,-79.5972
6754,7194656942,7500,2001.0,ford,mustang,excellent,8 cylinders,gas,89000.0,manual,convertible,26.6609,-80.129
6868,7178847209,6995,1996.0,pontiac,firebird trans am,excellent,8 cylinders,gas,96563.0,automatic,convertible,39.701,-84.2187
6872,7192461677,17900,2007.0,mercedes-benz,slk 5.5 amg,excellent,8 cylinders,gas,88011.0,automatic,convertible,38.3092,-85.7504
6906,7192298327,5995,2007.0,mitsubishi,eclipse spyder gt cv,excellent,6 cylinders,gas,146953.0,automatic,convertible,37.9994,-85.9436
6950,7195052699,4895,2008.0,chrysler,sebring convertible,excellent,4 cylinders,gas,101000.0,automatic,convertible,43.2196,-77.4616
6954,7194963777,28900,2019.0,mazda,miata mx5 convertiable,excellent,4 cylinders,gas,2000.0,manual,convertible,43.1317,-77.6062
7050,7191928673,5900,1997.0,bmw,z3 roadster,excellent,6 cylinders,gas,96915.0,automatic,convertible,38.309,-85.7506
7052,7191919127,15900,2007.0,bmw,335i hard top convertible,like new,6 cylinders,gas,81390.0,automatic,convertible,38.309,-85.7503
7057,7187631166,6500,1975.0,volkswagen,super beetle,good,4 cylinders,gas,76638.0,manual,convertible,44.1988,-123.23
7060,7190311511,12500,1995.0,mercedes-benz,benz sl500,excellent,8 cylinders,gas,93500.0,automatic,convertible,35.5336,-77.391
